01/01/2021;expense;101000
02/01/2021;expense;168724
03/01/2021;expense;42321
04/01/2021;expense;233200
05/01/2021;expense;2213
06/01/2021;expense;24545
07/01/2021;expense;55500
08/01/2021;expense;200000
10/01/2021;expense;20000
11/01/2021;expense;30000
12/01/2021;expense;55500
13/01/2021;expense;55500
14/01/2021;expense;20000
15/01/2021;expense;10000
16/01/2021;expense;20000
17/01/2021;expense;10000
18/01/2021;expense;10000
19/01/2021;expense;55500
20/01/2021;expense;55500
21/01/2021;expense;10000
22/01/2021;expense;10000
23/01/2021;expense;10000
24/01/2021;expense;10000321
04/01/2021;expense;233200
19/01/2021;expense;55500
20/01/2021;expense;55500
21/01/2021;expense;10000
22/01/2021;expense;10000
23/01/2021;expense;10000
24/01/2021;expense;10000
